,State,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,HUESTIMATE2010,HUESTIMATE2011,HUESTIMATE2012,HUESTIMATE2013,HUESTIMATE2014,HUESTIMATE2015,HUESTIMATE2016,HUESTIMATE2017,HUESTIMATE2018,HUESTIMATE2019,2010 Mean Housing,2011 Mean Housing,2012 Mean Housing,2013 Mean Housing,2014 Mean Housing,2015 Mean Housing,2016 Mean Housing,2017 Mean Housing,2018 Mean Housing,2019 Mean Housing
0,Alabama,2168,2772,5703,7343,2725,3036,3620,5309,8658,12159,4349518,4362048,4383490,4407014,4427220,4451206,4477600,4509216,4541414,4569934,126957.33333333333,121023.16666666667,118869.5,120236.25,122515.33333333333,125240.83333333333,128270.08333333333,132391.41666666666,138419.08333333334,145089.08333333334
1,Alaska,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,-8823,614358,616992,619998,622480,624786,627860,630716,633812,636608,639728,247274.91666666666,244533.75,248327.25,255733.08333333334,263718.25,272744.0,277879.0,279400.5,281530.1666666667,298146.8181818182
2,Arizona,5672,27551,44944,42047,61260,65072,82382,76071,92050,98799,5698980,5720358,5745976,5783222,5829236,5875224,5934608,6001802,6075888,6154280,162216.75,144181.16666666666,154015.08333333334,181565.16666666666,197273.08333333334,206487.0,219704.75,233962.83333333334,251313.5,266522.8333333333
3,Arkansas,3270,9658,2439,171,-271,3197,4435,6020,2882,2783,2636144,2649274,2661856,2677280,2690786,2705282,2720812,2739044,2759952,2778424,106798.25,103784.75,104656.66666666667,107047.58333333333,108677.16666666667,111268.33333333333,114960.5,119624.75,125122.16666666667,130340.33333333333
4,California,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,-129386,27383186,27463486,27544642,27649560,27778660,27918186,28073488,28255172,28428156,28584186,333805.0,316157.3333333333,314443.6666666667,373854.5833333333,422576.0,445660.0,476744.0,508450.75,547582.25,558383.1666666666
5,Colorado,8433,39632,38739,44424,48408,69676,58435,44783,53185,41858,4433962,4449974,4469502,4497178,4528948,4569140,4602414,4642220,4717108,4792624,241978.0,232901.91666666666,237187.58333333334,256510.5,276616.75,305650.75,337953.0833333333,367036.6666666667,394632.0833333333,411798.0
6,Connecticut,2572,869,-1471,-6007,-6980,-13488,-14824,-9356,-5478,-9736,2977300,2983618,2988484,2996324,3005624,3014606,3025068,3034508,3042048,3050072,284679.5833333333,268971.0833333333,253554.08333333334,258873.75,261708.16666666666,259867.41666666666,259935.66666666666,266364.4166666667,273427.4166666667,276504.4166666667
7,Delaware,638,4381,4414,5655,5973,6290,5087,5958,7335,7034,813008,817886,822396,829128,837346,846286,855348,865514,877252,887674,244795.5,228997.5,216896.66666666666,216233.5,225749.08333333334,232514.33333333334,240417.58333333334,247035.83333333334,256455.83333333334,263493.6666666667
8,District of Columbia,2169,9951,10095,10788,6983,8225,5508,4514,2431,401,593378,592732,599644,604992,609182,615132,622516,629402,638930,645666,452558.0833333333,443693.6666666667,459680.3333333333,515859.5,581828.5,586240.4166666666,614978.4166666666,644773.3333333334,675594.5,713192.25
9,Florida,32460,169141,202523,215179,260032,330283,372675,324642,267130,222588,17990252,18041738,18100040,18201940,18346274,18485394,18674842,18877334,19091640,19349754,163079.75,148066.08333333334,147267.0,164132.16666666666,183126.83333333334,195948.33333333334,212013.33333333334,228633.08333333334,245217.58333333334,257218.0
10,Georgia,7100,28820,36489,16454,39859,57895,72782,60780,56844,64733,8183938,8206404,8231776,8268192,8327864,8393418,8470610,8560948,8650936,8757736,143633.91666666666,130070.08333333333,126139.83333333333,135920.16666666666,149009.91666666666,157809.25,167060.83333333334,177537.25,192784.66666666666,205600.91666666666
11,Hawaii,1627,6340,7055,4917,-1855,450,-1857,-9805,-8498,-8803,1040176,1046426,1051356,1056782,1063924,1069446,1079516,1085628,1091902,1100574,533218.6666666666,534134.0833333334,532956.5,563478.5833333334,613383.25,635868.5833333334,662702.25,702362.0833333334,734748.25,744553.8333333334
12,Idaho,-264,2069,806,5325,9804,9761,21910,26525,24142,27527,1337930,1346038,1353934,1366238,1383150,1400158,1419482,1443166,1471036,1502470,163442.33333333334,147325.08333333334,152182.5,170989.08333333334,180791.91666666666,189496.83333333334,204749.66666666666,222867.25,250885.66666666666,280924.8333333333
13,Illinois,-8461,-33876,-43686,-40418,-65886,-77601,-88670,-85114,-93439,-85777,10595188,10605570,10614368,10626420,10641286,10666772,10689560,10717796,10751148,10776484,186097.91666666666,170316.41666666666,160085.75,165652.33333333334,175650.41666666666,180755.83333333334,187305.0,196681.75,204405.58333333334,208662.91666666666
14,Indiana,-664,588,-3033,8676,1883,-6171,4600,6984,19003,18376,5594974,5613532,5631464,5652204,5680836,5709152,5738890,5769522,5806410,5842406,119685.16666666667,116258.83333333333,115640.91666666667,117329.25,121339.83333333333,125044.25,129720.58333333333,137181.83333333334,147003.75,156809.91666666666
15,Iowa,903,5939,-547,7098,5857,1767,166,1941,-2064,-2348,2675590,2686852,2697474,2712824,2732356,2750560,2770840,2795276,2819128,2838086,124961.41666666667,122024.25,122450.91666666667,125935.83333333333,129438.58333333333,133313.0,138373.16666666666,144303.83333333334,149860.66666666666,155388.66666666666
